(node:5971) [MONGODB DRIVER] Warning: useNewUrlParser is a deprecated option: useNewUrlParser has no effect since Node.js Driver version 4.0.0 and will be removed in the next major version
(Use `node --trace-warnings ...` to show where the warning was created)
(node:5971) [MONGODB DRIVER] Warning: useUnifiedTopology is a deprecated option: useUnifiedTopology has no effect since Node.js Driver version 4.0.0 and will be removed in the next major version
🚀 GATE Exam Simulator API running on port 8001
📱 Environment: development
🗄️  Database: mongodb://localhost:27017
Connected to MongoDB
127.0.0.1 - - [04/Sep/2025:19:32:00 +0000] "GET /api/ HTTP/1.1" 200 46 "-" "curl/7.88.1"
10.64.131.25 - - [04/Sep/2025:19:56:17 +0000] "POST /api/exam/start/3f63e189-eafe-4f02-8708-1a2900697569 HTTP/1.1" 201 355 "https://gate-prep-hub-2.preview.emergentagent.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.131.25 - - [04/Sep/2025:19:56:17 +0000] "GET /api/exam/session/bca38f0d-4efb-473f-b4d5-34133f65b425 HTTP/1.1" 200 355 "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.130.245 - - [04/Sep/2025:19:56:18 +0000] "GET /api/exam/session/bca38f0d-4efb-473f-b4d5-34133f65b425 HTTP/1.1" 304 - "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.130.245 - - [04/Sep/2025:19:56:18 +0000] "GET /api/exam/question/bca38f0d-4efb-473f-b4d5-34133f65b425/0 HTTP/1.1" 200 844 "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.129.84 - - [04/Sep/2025:19:56:18 +0000] "GET /api/exam/question/bca38f0d-4efb-473f-b4d5-34133f65b425/0 HTTP/1.1" 304 - "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.129.84 - - [04/Sep/2025:19:56:22 +0000] "POST /api/exam/answer/bca38f0d-4efb-473f-b4d5-34133f65b425 HTTP/1.1" 200 39 "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.129.84 - - [04/Sep/2025:19:56:25 +0000] "GET /api/exam/question/bca38f0d-4efb-473f-b4d5-34133f65b425/1 HTTP/1.1" 200 769 "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.130.245 - - [04/Sep/2025:19:56:29 +0000] "POST /api/exam/answer/bca38f0d-4efb-473f-b4d5-34133f65b425 HTTP/1.1" 200 39 "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.131.25 - - [04/Sep/2025:19:56:38 +0000] "POST /api/exam/submit/bca38f0d-4efb-473f-b4d5-34133f65b425 HTTP/1.1" 200 327 "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.129.84 - - [04/Sep/2025:19:56:39 +0000] "GET /api/results/bca38f0d-4efb-473f-b4d5-34133f65b425 HTTP/1.1" 200 435 "https://gate-prep-hub-2.preview.emergentagent.com/results/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.129.84 - - [04/Sep/2025:19:56:39 +0000] "GET /api/results/bca38f0d-4efb-473f-b4d5-34133f65b425 HTTP/1.1" 304 - "https://gate-prep-hub-2.preview.emergentagent.com/results/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.131.25 - - [04/Sep/2025:19:56:44 +0000] "GET /api/exam/session/bca38f0d-4efb-473f-b4d5-34133f65b425 HTTP/1.1" 200 392 "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.129.84 - - [04/Sep/2025:19:56:44 +0000] "GET /api/exam/question/bca38f0d-4efb-473f-b4d5-34133f65b425/0 HTTP/1.1" 404 56 "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.130.245 - - [04/Sep/2025:19:56:44 +0000] "GET /api/exam/session/bca38f0d-4efb-473f-b4d5-34133f65b425 HTTP/1.1" 304 - "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.64.131.25 - - [04/Sep/2025:19:56:45 +0000] "GET /api/exam/question/bca38f0d-4efb-473f-b4d5-34133f65b425/0 HTTP/1.1" 404 56 "https://gate-prep-hub-2.preview.emergentagent.com/exam/bca38f0d-4efb-473f-b4d5-34133f65b425" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Sep/2025:20:24:50 +0000] "GET / HTTP/1.1" 200 55 "https://vscode-39b4640e-05bd-4db3-aab6-2fbd82f559a2.preview.emergentagent.com/?folder=/app" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
